Matrix CSR ModCSR Jagged Ellpack
gre_216a 4823 4976 5705 10380
gre_216b 5193 4369 5647 8311
gre_343 6832 5134 7328 9053
gre_512 6605 5680 5878 9354
hor_131 9891 5356 6743 12025
ibm32 4346 4125 4130 9949
illc1033 10066 4185 5744 13457
illc1850 6524 5345 7274 12685
impcol_a 4318 4510 4767 9400
impcol_b 4102 4442 5528 18082
impcol_c 4079 3870 4789 13325
impcol_d 5418 4172 5443 16827
impcol_e 6750 5629 6790 29134
jagmesh1 11987 4418 6054 9281
jagmesh2 9395 7613 10831 946148
jagmesh3 18685 6816 7099 15615
jagmesh4 7043 6084 7502 9313
jagmesh5 5470 5712 7813 8701
jagmesh6 5307 6184 7804 10138
jagmesh7 5289 6367 7842 10887
jagmesh8 9374 7527 10612 14222
jagmesh9 4646 7505 9004 10984
jgl009 3099 3731 6063 11167
jgl011 3405 3805 4928 9975
jpwh_991 5749 5820 8735 3922
lns_131 4825 5338 6929 11795
lns_3937 5098 6053 7517 9325
lns_511 5145 5757 7605 9590
lnsp3937 4560 5885 7669 6445
lnsp_131 5370 6469 7277 16492
lnsp_511 18710 8700 9703 11776
lop163 5688 8420 10151 14025
lpi_box1 3340 5440 6862 6110
lshp1009 5068 8907 8663 8066
lshp1270 5077 6945 9855 13432
lshp1561 5664 7036 9623 8166
lshp1882 6852 7746 9108 8036
lshp2233 4918 7255 11868 9590
lshp2614 5760 7049 9391 8084
lshp3025 5127 7446 8340 9371
lshp3466 5051 7728 9907 9203
lshp_265 4642 5978 8076 10359
lshp_406 5033 6492 8032 10609
lshp_577 5419 7066 9353 7715
lshp_778 4952 9335 8731 7766
lund_a 6187 8695 9123 18377
lund_b 5956 8119 9297 18836
mahindas 4814 6057 8383 5436
mcca 6078 10754 11534 22207
mcfe 8394 10277 14399 25717
meg1 4121 6256 8150 2449
mhd1280b 8690 9293 12740 21092
mhda416 8743 10682 13751 51874
mhdb416 5587 7130 8279 12029
mplate 6055 7573 9690 15933
msc00726 7889 13536 11403 31232
msc01440 4908 7353 9154 10085
msc04515 7160 10413 38740 29282
msc10848 5904 19748 35519 10621
nasa1824 6804 8069 9952 22147
nasa2910 7169 9110 12909 25326
nasa4704 8486 8015 15225 20022
nnc1374 5577 9215 9492 17474
nnc261 5562 7802 9084 21308
nnc666 5733 7584 10069 21636
nopoly 4791 12516 8475 8451
nos1 3769 6041 7083 6162
nos2 4743 6924 8372 6413
nos3 5738 13454 10699 16568
nos4 4490 5850 7593 12521
nos6 4788 6452 8678 6325
nos7 6892 6967 9566 6894
odepa400 4035 6313 7334 6467
odepb400 3474 4928 6480 3340
olm100 4712 6072 8223 7327
olm1000 5157 8167 8849 8608
olm2000 5108 7441 9709 9731
olm500 4786 6759 9520 8368
olm5000 5178 7611 9513 11038
onetone1 4857 7135 8729 11876
onetone2 5207 6847 8584 11666
orani678 4332 7416 7838 4367
orsirr_1 5608 8443 9341 10167
orsirr_2 6296 10220 9353 9545
orsreg_1 6378 8194 9051 9225
pcrystk02 5779 8607 9591 14698
pcrystk03 5464 13465 9643 16638
pct20stif 6228 9853 11150 18725
pde225 8443 9299 14056 13516
pde2961 6446 9118 12828 7796
pde900 5234 8135 28691 8882
pesa 4430 6635 8209 4001
plat1919 5081 7610 9428 6892
plat362 5000 6748 8941 7715
poli 4712 6672 8734 12524
poli_large 5271 7181 8699 6898
pores_1 4616 6866 6933 14517
pores_2 5632 8054 10036 13659
pores_3 5060 6650 9204 8181
pre2 5161 7146 8263 12999
psmigr_1 11452 14038 17589 100381
psmigr_2 18240 14004 17302 81891
psmigr_3 11596 13949 17583 83468
pwtk 6344 8607 10909 18817
qc2534 11679 15759 17785 84154
qc324 12035 14198 17612 83421
qh882 4396 6160 7014 5189
rbsa480 8110 10500 12105 31259
rbsb480 7358 14999 11576 31916
rdb2048 5527 7058 8730 7795
rdb5000 6073 156268 8904 7853
rdb968 5770 10858 9826 13652
rgg010 4467 5763 8295 10064
rim 10688 14443 15995 96357
rlfprim 3962 6342 7536 2318
rma10 6813 8918 11921 19708
rw136 4154 5903 7912 7121
rw496 4655 6506 7800 6541
rw5151 4823 7536 8474 5449
saylr1 4754 6530 8653 9219
saylr3 4756 6468 9200 6907
saylr4 4906 6757 8736 7697
sherman1 4836 7450 8665 7633
sherman2 7699 10391 12358 29421
sherman3 4560 6635 8676 7350
sherman4 5412 8500 10305 11670
sherman5 4703 6077 7993 4066
sstmodel 38956 6942 8717 5201
steam1 7293 9570 11334 11106
steam2 5224 6915 9265 7196
steam3 4551 6877 8109 11821
thermal 6249 8198 10159 17256
tub100 3936 5863 6567 8168
tub1000 5127 6548 10313 7905
twotone 5201 7496 8505 17132
vibrobox 5805 7665 9738 18580
watt_1 4340 5913 8239 3806
well1033 4724 8666 8715 11903
well1850 4780 6905 8267 11719
will57 4911 8790 9285 18150
wm1 9860 11875 15142 55606
wm2 11727 13112 16168 55450
wm3 807945 1004968 1108622 55425
young1c 8119 29226 32508 9406
young2c 5165 3776 5267 9377
young3c 4550 3827 6308 10283
young4c 6690 3668 5803 9034
zenios 4430 3792 4943 15172
